listing_id,price,rating,listing_added,name,host_id,host_name,room_type,number_of_reviews,last_review,reviews_per_month,availability_365,number_of_stays,5_stars,latitude,longitude,borough,neighbourhood,is_rated
3831,89.0,3.2739354028569787,2018-12-30,Cozy Entire Floor of Brownstone,4869,LisaRoxanne,Entire place,270,2019-07-05,4.64,194,324.0,0.7573657865679931,40.68514,-73.95976,Brooklyn,Clinton Hill,1
6848,140.0,3.4957595810256405,2018-12-24,Only 2 stops to Manhattan studio,15991,Allen & Irina,Entire place,148,2019-06-29,1.2,46,177.6,0.7897427077554477,40.70837,-73.95352,Brooklyn,Williamsburg,1
7322,140.0,4.3890506173017565,2018-12-26,Chelsea Perfect,18946,Doti,Private room,260,2019-07-01,2.12,12,312.0,0.6698725882352369,40.74192,-73.99501,Manhattan,Chelsea,1
7726,99.0,3.3053824683089426,2018-12-17,Hip Historic Brownstone Apartment with Backyard,20950,Adam And Charity,Entire place,53,2019-06-22,4.44,21,63.6,0.6402508102467211,40.67592,-73.94694,Brooklyn,Crown Heights,1
12303,120.0,4.568744654108088,2018-03-27,1bdr w private bath. in lofty apt,47618,Yolande,Private room,25,2018-09-30,0.23,311,30.0,0.9185926404702348,40.69673,-73.97584,Brooklyn,Fort Greene,1
12627,150.0,3.7593278299793575,2018-11-30,Entire apartment in central Brooklyn neighborhood.,49670,Rana,Entire place,11,2019-06-05,0.49,95,13.2,0.7012203688314269,40.65944,-73.96238000000002,Brooklyn,Prospect-Lefferts Gardens,1
13394,80.0,4.050713992961011,2018-12-12,Fort Greene brownstone ,52335,Alexander,Private room,135,2019-06-17,1.16,192,162.0,0.625557908711271,40.69142,-73.97376,Brooklyn,Fort Greene,1
14322,200.0,4.8241590157441125,2018-09-19,Beautiful Apartment in Manhattan!!!,56284,Francesca,Entire place,19,2019-03-25,0.22,257,22.8,0.9110310590510766,40.73961,-73.98074,Manhattan,Kips Bay,1
15338,49.0,4.922277109991008,2018-11-29,Room in Greenpoint Loft w/ Roof,32169,Andrea,Private room,138,2019-06-04,1.19,320,165.6,0.8964005013799463,40.72401,-73.93788,Brooklyn,Greenpoint,1
15711,250.0,3.483934739999956,2018-09-24,2 bedroom - Upper East Side-great for kids,61491,D,Entire place,66,2019-03-30,0.57,231,79.2,0.7197957607814761,40.77065,-73.95269,Manhattan,Upper East Side,1
17092,51.0,3.41863395352621,2018-11-26,Cool Room in Hell's Kitchen,66243,Enzo,Private room,23,2019-06-01,0.43,88,27.6,0.6866449351611053,40.76342,-73.98865,Manhattan,Hell's Kitchen,1
18764,145.0,4.333950978998889,2018-10-17,Cozy 2 BR in Williamsburg ,72014,Lulú,Private room,61,2019-04-22,0.54,238,73.2,0.7141883130020319,40.71154,-73.96112,Brooklyn,Williamsburg,1
19282,130.0,3.694795866803593,2018-12-10,"Sunny, Spacious Top Floor Haven",73469,Gaia,Entire place,16,2019-06-15,0.15,38,19.2,0.6549634329088398,40.65401,-73.96323000000002,Brooklyn,Flatbush,1
20734,131.0,4.236907397869558,2018-12-22,Spacious Prospect Heights Apartment,78460,Sean & Lynette,Entire place,166,2019-06-27,3.4,207,199.2,0.7482829858252198,40.68233,-73.97261,Brooklyn,Prospect Heights,1
22918,60.0,3.5506057105982656,2018-06-30,loft bed - near transportation-15min to times sq,32294,Ssameer Or Trip,Private room,11,2019-01-03,0.87,219,13.2,0.7676978515036037,40.82279000000001,-73.95139,Manhattan,Harlem,1
23135,175.0,3.449480304173244,2018-12-19,House On Henry (3rd FLR Suite),11481,Annette,Entire place,233,2019-06-24,2.09,342,279.6,0.7126037901761311,40.67967,-74.00154,Brooklyn,Carroll Gardens,1
26362,59.0,3.371217874901411,2018-12-11,"Times Square, Safe, Clean and Cozy!",59734,Luiz,Private room,334,2019-06-16,3.0,279,400.8,0.6971990403238434,40.75527,-73.99291,Manhattan,Hell's Kitchen,1
26954,199.0,3.272898419411292,2015-05-29,NYC fabulous views Manhattan's eye,115157,Nimo,Entire place,38,2015-12-02,0.38,260,45.6,0.6210363187639506,40.74294,-73.98009,Manhattan,Kips Bay,1
28907,150.0,3.221713161413902,2017-02-09,Garden studio in the Upper East Sid,124352,Lisa,Entire place,21,2017-08-15,0.19,189,25.2,0.7411141957697651,40.778,-73.94821999999998,Manhattan,Upper East Side,1
29455,120.0,3.8392880064220014,2018-12-15,ACCOMMODATIONS GALORE #1,126607,Laurine,Entire place,155,2019-06-20,1.42,213,186.0,0.7625712112624013,40.81618,-73.94894000000002,Manhattan,Harlem,1
31902,77.0,4.584075790372403,2018-06-28,Sanctuary in East Flatbush,137292,Sunder,Private room,2,2019-01-01,0.02,178,2.4,0.6016331412373969,40.63188,-73.93248,Brooklyn,Flatlands,1
36133,125.0,3.2306310523678694,2018-12-08,Classic Artist Loft Williamsburg,142684,White,Private room,155,2019-06-13,1.61,1,186.0,0.6311508419038152,40.71536,-73.96056999999998,Brooklyn,Williamsburg,1
36442,115.0,4.8382601095655975,2018-02-21,Great location. Spacious on PROSPECT PARK,137432,Paz,Entire place,4,2018-08-27,0.05,269,4.8,0.7150382061691959,40.6741,-73.96595,Brooklyn,Prospect Heights,1
36934,125.0,4.189716625942056,2018-06-23,Great location in Williamsburg,159370,Viviana,Entire place,27,2018-12-27,0.25,189,32.4,0.6914933093696709,40.71363,-73.96398,Brooklyn,Williamsburg,1
38638,219.0,3.266119214724572,2018-12-21,Light and Airy Upper East Side 1 BDR apartment,92788,Sara,Entire place,126,2019-06-26,1.16,290,151.2,0.6656492620800232,40.77711,-73.9527,Manhattan,Upper East Side,1
